City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,parrita,CR,2021-11-12 23:55:53,9.5201,-84.3225,85.77,86,27,1.79
60,padang,ID,2021-11-12 23:55:53,-0.9492,100.3543,75.25,84,98,3.33
61,kambar,PK,2021-11-12 23:55:53,27.5868,68.001,68.56,16,0,3.98
62,yellowknife,CA,2021-11-12 23:54:35,62.456,-114.3525,29.41,90,90,16.11
63,kahului,US,2021-11-12 23:51:12,20.8947,-156.47,84.22,65,40,9.22
64,leningradskiy,RU,2021-11-12 23:55:53,69.3833,178.4167,7.02,91,96,3.51
65,barrow,US,2021-11-12 23:55:54,71.2906,-156.7887,14.81,89,100,9.84
66,lebu,CL,2021-11-12 23:55:54,-37.6167,-73.65,53.02,83,99,9.42
67,hobart,AU,2021-11-12 23:50:58,-42.8794,147.3294,54.1,70,75,9.22
68,requena,ES,2021-11-12 23:55:54,39.4883,-1.1004,52.79,75,48,2.8
69,almaznyy,RU,2021-11-12 23:55:55,48.0448,40.045,39.34,81,59,7.87
70,honiara,SB,2021-11-12 23:55:55,-9.4333,159.95,87.3,66,25,4.38
71,lasa,IT,2021-11-12 23:55:55,46.6166,10.7002,34.54,85,8,1.92
72,fort nelson,NL,2021-11-12 23:55:55,52.6517,6.3861,49.17,88,97,13.87
73,westport,US,2021-11-12 23:55:56,41.1415,-73.3579,58.86,95,49,3.0
74,qaqortoq,GL,2021-11-12 23:55:56,60.7167,-46.0333,15.91,72,100,5.61
75,bontang,ID,2021-11-12 23:55:56,0.1333,117.5,75.61,93,100,5.1
76,port elizabeth,CD,2021-11-12 23:55:57,-7.0349,29.7638,77.38,56,72,6.2
77,honningsvag,NO,2021-11-12 23:55:57,70.9821,25.9704,30.81,69,75,19.35
78,jalu,LY,2021-11-12 23:55:57,29.0331,21.5482,64.04,53,0,6.42
79,shiyan,CN,2021-11-12 23:55:57,32.6475,110.7781,43.81,67,0,5.93
80,kalmunai,LK,2021-11-12 23:55:58,7.4167,81.8167,78.1,81,100,1.88
81,karratha,AU,2021-11-12 23:55:11,-20.7377,116.8463,81.54,30,82,11.65
82,aklavik,CA,2021-11-12 23:51:38,68.2191,-135.0107,9.32,94,100,12.37
83,saint-philippe,RE,2021-11-12 23:55:58,-21.3585,55.7679,71.19,81,30,9.22
84,mar del plata,ES,2021-11-12 23:55:58,43.4002,-4.0094,57.07,90,75,3.0
85,yinchuan,CN,2021-11-12 23:55:58,38.4681,106.2731,35.35,23,0,4.9
86,qaanaaq,GL,2021-11-12 23:55:59,77.484,-69.3632,-6.95,59,0,9.98
87,talnakh,RU,2021-11-12 23:55:59,69.4865,88.3972,8.46,89,100,14.0
88,tarko-sale,RU,2021-11-12 23:55:59,64.9225,77.785,10.18,94,100,15.95
89,lekoni,GA,2021-11-12 23:55:59,-1.5843,14.2591,73.51,86,100,2.93
90,peru,US,2021-11-12 23:56:00,40.7537,-86.0689,38.61,86,90,12.66
91,puerto ayora,ES,2021-11-12 23:56:00,36.5939,-6.233,53.74,73,0,2.3
92,ilhabela,BR,2021-11-12 23:56:00,-23.7781,-45.3581,64.42,79,80,5.57
93,harlingen,US,2021-11-12 23:48:34,26.1906,-97.6961,82.49,78,1,12.66
94,nakusp,CA,2021-11-12 23:56:00,50.2499,-117.8023,41.47,93,100,4.61
95,namatanai,PG,2021-11-12 23:56:01,-3.6667,152.4333,85.82,66,99,2.46
96,chuy,UY,2021-11-12 23:56:01,-33.6971,-53.4616,58.23,69,74,10.67
97,atuona,PF,2021-11-12 23:56:01,-9.8,-139.0333,78.24,73,21,12.44
98,narsaq,GL,2021-11-12 23:56:02,60.9167,-46.05,13.68,67,98,6.58
99,touros,BR,2021-11-12 23:56:02,-5.1989,-35.4608,81.5,80,72,15.52
100,nebolchi,RU,2021-11-12 23:56:02,59.1239,33.3454,38.08,89,100,9.62
101,cape town,CL,2021-11-12 23:56:02,-36.413,-71.9028,56.62,78,100,3.58
102,aquiraz,BR,2021-11-12 23:57:03,-3.9014,-38.3911,85.21,66,4,12.37
103,san patricio,ML,2021-11-12 23:52:48,13.3034,-4.8956,78.66,16,67,10.36
104,ribeira grande,ES,2021-11-12 23:57:03,42.7461,-8.4439,56.41,73,75,2.3
105,belmonte,BR,2021-11-12 23:57:03,-15.8631,-38.8828,73.9,90,79,11.68
106,srednekolymsk,RU,2021-11-12 23:57:04,67.45,153.6833,1.06,97,100,4.36
107,oranjemund,NA,2021-11-12 23:57:04,-28.55,16.4333,60.73,88,90,9.78
108,genc,TR,2021-11-12 23:57:04,38.7507,40.5603,42.87,55,0,3.62
109,torbay,CA,2021-11-12 23:57:05,47.6666,-52.7314,35.28,81,90,19.57
110,statesboro,US,2021-11-12 23:57:05,32.4488,-81.7832,62.47,82,1,0.0
111,koslan,RU,2021-11-12 23:57:05,63.4564,48.8989,29.89,96,99,6.69
112,penapolis,BR,2021-11-12 23:57:05,-21.4197,-50.0775,72.34,55,100,20.0
113,nikolskoye,RU,2021-11-12 23:57:06,59.7035,30.7861,39.87,89,99,7.14
114,malanje,AO,2021-11-12 23:57:06,-9.5402,16.341,63.48,95,98,2.91
115,ponta delgada,PT,2021-11-12 23:57:06,38.7333,-28.2667,63.0,85,95,18.57
116,plouzane,FR,2021-11-12 23:57:06,48.3833,-4.6167,55.45,91,90,5.75
117,port blair,CD,2021-11-12 23:57:07,-7.0349,29.7638,77.38,56,72,6.2
118,hami,CN,2021-11-12 23:57:07,42.8,93.45,27.59,54,0,5.32
119,chokurdakh,RU,2021-11-12 23:57:07,70.6333,147.9167,-2.88,93,100,8.61
120,avarua,CK,2021-11-12 23:57:07,-21.2078,-159.775,78.85,78,20,11.5
121,mehamn,NO,2021-11-12 23:57:08,71.0357,27.8492,23.81,76,67,11.77
